date,close,asset,ticker_used
2024-02-23,109.875,bonds,ZN=F
2024-02-26,109.609375,bonds,ZN=F
2024-02-27,109.53125,bonds,ZN=F
2024-02-28,109.8125,bonds,ZN=F
2024-02-29,109.921875,bonds,ZN=F
2024-03-01,110.5,bonds,ZN=F
2024-03-04,110.21875,bonds,ZN=F
2024-03-05,110.75,bonds,ZN=F
2024-03-06,110.921875,bonds,ZN=F
2024-03-07,111.078125,bonds,ZN=F
2024-03-08,111.140625,bonds,ZN=F
2024-03-11,111.015625,bonds,ZN=F
2024-03-12,110.609375,bonds,ZN=F
2024-03-13,110.40625,bonds,ZN=F
2024-03-14,109.734375,bonds,ZN=F
2024-03-15,109.609375,bonds,ZN=F
2024-03-18,109.359375,bonds,ZN=F
2024-03-19,109.671875,bonds,ZN=F
2024-03-20,110.4375,bonds,ZN=F
2024-03-21,110.390625,bonds,ZN=F
2024-03-22,110.75,bonds,ZN=F
2024-03-25,110.515625,bonds,ZN=F
2024-03-26,110.640625,bonds,ZN=F
2024-03-27,110.875,bonds,ZN=F
2024-03-28,110.796875,bonds,ZN=F
2024-04-01,109.921875,bonds,ZN=F
2024-04-02,109.71875,bonds,ZN=F
2024-04-03,109.796875,bonds,ZN=F
2024-04-04,110.125,bonds,ZN=F
2024-04-05,109.65625,bonds,ZN=F
2024-04-08,109.265625,bonds,ZN=F
2024-04-09,109.640625,bonds,ZN=F
2024-04-10,108.203125,bonds,ZN=F
2024-04-11,108.109375,bonds,ZN=F
2024-04-12,108.6875,bonds,ZN=F
2024-04-15,107.890625,bonds,ZN=F
2024-04-16,107.671875,bonds,ZN=F
2024-04-17,108.15625,bonds,ZN=F
2024-04-18,107.703125,bonds,ZN=F
2024-04-19,107.90625,bonds,ZN=F
2024-04-22,107.859375,bonds,ZN=F
2024-04-23,108.078125,bonds,ZN=F
2024-04-24,107.734375,bonds,ZN=F
2024-04-25,107.359375,bonds,ZN=F
2024-04-26,107.578125,bonds,ZN=F
2024-04-29,107.953125,bonds,ZN=F
2024-04-30,107.4375,bonds,ZN=F
2024-05-01,108.109375,bonds,ZN=F
2024-05-02,108.359375,bonds,ZN=F
2024-05-03,108.859375,bonds,ZN=F
2024-05-06,108.890625,bonds,ZN=F
2024-05-07,109.015625,bonds,ZN=F
2024-05-08,108.828125,bonds,ZN=F
2024-05-09,109.09375,bonds,ZN=F
2024-05-10,108.703125,bonds,ZN=F
2024-05-13,108.828125,bonds,ZN=F
2024-05-14,109.09375,bonds,ZN=F
2024-05-15,109.71875,bonds,ZN=F
2024-05-16,109.484375,bonds,ZN=F
2024-05-17,109.1875,bonds,ZN=F
2024-05-20,109.09375,bonds,ZN=F
2024-05-21,109.234375,bonds,ZN=F
2024-05-22,109.03125,bonds,ZN=F
2024-05-23,108.71875,bonds,ZN=F
2024-05-24,108.703125,bonds,ZN=F
2024-05-28,108.296875,bonds,ZN=F
2024-05-29,107.765625,bonds,ZN=F
2024-05-30,108.234375,bonds,ZN=F
2024-05-31,108.484375,bonds,ZN=F
2024-06-03,109.25,bonds,ZN=F
2024-06-04,109.703125,bonds,ZN=F
2024-06-05,109.984375,bonds,ZN=F
2024-06-06,110.0625,bonds,ZN=F
2024-06-07,109.046875,bonds,ZN=F
2024-06-10,108.828125,bonds,ZN=F
2024-06-11,109.28125,bonds,ZN=F
2024-06-12,110.03125,bonds,ZN=F
2024-06-13,110.421875,bonds,ZN=F
2024-06-14,110.46875,bonds,ZN=F
2024-06-17,110.0625,bonds,ZN=F
2024-06-18,110.484375,bonds,ZN=F
2024-06-20,110.546875,bonds,ZN=F
2024-06-21,110.5,bonds,ZN=F
2023-01-03,76.93000030517578,crude,CL=F
2023-01-04,72.83999633789062,crude,CL=F
2023-01-05,73.66999816894531,crude,CL=F
2023-01-06,73.7699966430664,crude,CL=F
2023-01-09,74.62999725341797,crude,CL=F
2023-01-10,75.12000274658203,crude,CL=F
2023-01-11,77.41000366210938,crude,CL=F
2023-01-12,78.38999938964844,crude,CL=F
2023-01-13,79.86000061035156,crude,CL=F
2023-01-17,80.18000030517578,crude,CL=F
2023-01-18,79.4800033569336,crude,CL=F
2023-01-19,80.33000183105469,crude,CL=F
2023-01-20,81.30999755859375,crude,CL=F
2023-01-23,81.62000274658203,crude,CL=F
2023-01-24,80.12999725341797,crude,CL=F
2023-01-25,80.1500015258789,crude,CL=F
